,jp,en
269,とにかく,"とにかく
とにかく

anyhow
at any rate
anyway
somehow or other
generally speaking
in any case
at least
"
270,だって,"だって
だって

after all
because
but
even
too
as well
also
they say
I hear
you mean
"
271,それより,"それより
それより

apart from that
other than that
leaving that aside
more ... than that
but
however
"
272,そもそも,"そもそも
そもそも

in the first place
to begin with
from the start
originally
ab initio
... the heck (e.g. ""what the heck?"")
... in the world (e.g. ""why in the world?"")
... on earth (e.g. ""who on earth?"")
beginning
start
"
273,でもない,"でもない
でもない

it is not (like that)
used to explicitly deny one thing while also implicitly denying other things
"
274,これでも,"これでも
これでも

even though things may appear this way
"
275,カッとなる,"カッとなる
カッとなる

to flare up
to fly into a rage
"
276,くらいなら,"くらいなら
くらいなら

rather than (do ...)
"
277,フリ,"フリ
フリ

lead in (e.g. to a running joke, asking a question)
lead up
pretence (pretense)
show
pretending (to)
"
278,いきなり,"いきなり
いきなり

abruptly
suddenly
all of a sudden
without warning
"
279,およそ,"およそ
およそ

about
roughly
approximately
generally
on the whole
as a rule
completely
quite
entirely
altogether
totally
not at all (with neg. verb)
outline
gist
"
280,における,"における
における

in
at
on
as for
regarding
with regards to
"
281,いいから,"いいから
いいから

listen up (used at start of command sentences for emphasis)
never mind that
don't worry about that
"
282,どれだけ,"どれだけ
どれだけ

how long
how much
to what extent
"
283,つける,"つける
つける

to turn on
to switch on
to light up
"
284,かかる,"かかる
かかる

to take (a resource, e.g. time or money)
to hang
to come into view
to arrive
to come under (a contract, a tax)
to start (engines, motors)
to attend
to deal with
to handle
to have started to
to be on the verge of
to overlap (e.g. information in a manual)
to cover
to (come) at
to be fastened
to be covered (e.g. with dust, a table-cloth, etc.)
to be caught in
to get a call
to depend on
"
285,いかが,"いかが
いかが

how
in what way
how about
"
286,または,"または
または

or
otherwise
"
287,いつか,"いつか
いつか

sometime
someday
one day
some time or other
the other day
in due course
in time
"
288,さらに,"さらに
さらに

furthermore
again
after all
more and more
moreover
even more
"
289,まったく,"まったく
まったく

really
truly
entirely
completely
wholly
perfectly
indeed
good grief (expression of exasperation)
"
290,にとって,"にとって
にとって

to
for
concerning
as far as ... is concerned
regarding
"
291,ごとに,"ごとに
ごとに

one by one
each
every
at intervals of
"
292,おきに,"おきに
おきに

repeated at intervals
every other (day, week, month, ...)
"
293,あらゆる,"あらゆる
あらゆる

all
every
"
294,あげく,"あげく
あげく

in the end (after a long process)
finally
after all
at last
last line (of a renga)
"
295,くせに,"くせに
くせに

and yet
though
when
in spite of
"
296,せめて,"せめて
せめて

at least
at most
"
297,だけに,"だけに
だけに ..

being the case
(precisely) because ...
as might be expected (from ..)
"
298,まるで,"まるで
まるで

quite
entirely
completely
at all
as if
as though
just like
"
299,さすが,"さすが
さすが

as one would expect
still
all the same
even... (e.g. ""even a genius..."")
"
300,すぐに,"すぐに
すぐに

instantly
immediately
right away
at once
"
301,すぐ,"すぐ
すぐ

immediately
at once
directly
soon
before long
shortly
easily
without difficulty
right (near)
nearby
just (handy)
"
302,ならない,"ならない
ならない

cannot help (doing, etc.)
cannot resist
cannot bear not to
must not ...
should not ...
must ...
have to ...
ought to ....
"
303,ものの,"ものの
ものの

but
although
"
304,はっきり,"はっきり
はっきり

clearly
plainly
distinctly
to be clear
to be definite
to be certain
to be exact
to become clear
to clear up
"
305,もういい,"もういい
もういい

skip it
drop it
I've had enough (e.g. when offered something)
that's enough
"
306,とりあえず,"とりあえず
とりあえず

first of all
at once
right away
for now
for the time being
"
307,だいたい,"だいたい
だいたい

outline
main point
gist
general
substantially
approximately
about
in the first place
to begin with
from the start
"
308,かえって,"かえって
かえって

on the contrary
rather
all the more
instead
"
309,おもちゃ,"おもちゃ
おもちゃ

toy
plaything
"
310,なんとか,"なんとか
なんとか

something
something or other
so-and-so
somehow
anyhow
one way or another
"
311,につき,"につき
につき

because of
on account of
regarding
per
apiece
"
312,ゆっくり,"ゆっくり
ゆっくり

slowly
at ease
restful
"
313,おそらく,"おそらく
おそらく

perhaps
likely
probably
I dare say
"
314,しばらく,"しばらく
しばらく

little while
short while
moment
instant
a while
quite a time
it's been a long time
"
315,それでは,"それでは
それでは

well then ...
in that situation
in which case
"
316,なくす,"なくす
なくす

to lose something
to get rid of
to lose someone (wife, child, etc.)
"
317,かぎ,"かぎ
かぎ

key
lock
"
318,はがき,"はがき
はがき

postcard
memo
note
card
"
319,どなた,"どなた
どなた

who?
"
320,では,"では
では

then
well
so
well then
"
321,たて,"たて
たて

the vertical
height
front-to-back
length
north-to-south
vertical (relationship)
hierarchy
(weaving) warp
"
322,だんだん,"だんだん
だんだん

gradually
by degrees
steps
stairs
staircase
terrace
"
323,ちょうど,"ちょうど
ちょうど

exactly
precisely
just
right
as if
as though
quite
"
324,さあ,"さあ
さあ

come
come now
come along
go on
hurry up
well
who knows
I don't know...
uh
hmm
well now
let's see
there we go
all right
about that
you see
"
325,まずい,"まずい
まずい

unappetising
unappetizing
unpleasant (taste, appearance, situation)
unskillful
unskilful
bungling
clumsy
ugly
homely
plain
unattractive
awkward
untimely
inopportune
unfavorable
unwise
"
326,まっすぐ,"まっすぐ
まっすぐ

straight (ahead)
direct
upright
erect
straightforward
honest
frank
"
327,とはいえ,"とはいえ
とはいえ

though
although
be that as it may
nonetheless
"
328,からには,"からには
からには

now that
since
so long as
because
"
329,うろつく,"うろつく
うろつく

to loiter
to putter
to prowl
to wander aimlessly
to knock around
to hang around
to be confused from not knowing what to do
"
330,わけには行かない,"わけには行かない
わけにはいかない

impossible to do (although wants to)
cannot afford to
must not
no way we can
"
331,どうやら,"どうやら
どうやら

it seems like
it appears that
somehow or other
"
332,たちまち,"たちまち
たちまち

at once
in a moment
suddenly
all at once
quickly
promptly
immediately
"
333,っこない,"っこない
っこない

no chance of (verb)
"
334,わけにはいかない,"わけにはいかない
わけにはいかない

impossible to do (although wants to)
cannot afford to
must not
no way we can
"
335,ふるさと,"ふるさと
ふるさと

home town
birthplace
native place
one's old home
ruins
historic remains
"
336,だいぶ,"だいぶ
だいぶ

considerably
greatly
a lot
"
337,でもある,"でもある
でもある

to also be (formal, literary)
implies that as well as the earlier stated this is also the case
to be ... or something
"
338,さらっと,"さらっと
さらっと

smoothly
swimmingly
forthrightly
without hesitation
"
339,たまに,"たまに
たまに

occasionally
once in a while
"
340,かなり,"かなり
かなり

considerably
fairly
quite
"
341,ぶっちゃける,"ぶっちゃける
ぶっちゃける

to be frank ...
to put things bluntly ...
"
342,ほぼ,"ほぼ
ほぼ

almost
roughly
approximately
"
343,ばかり,"ばかり
ばかり

only
merely
nothing but
no more than
approximately
about
just (finished, etc.)
as if to
(as though) about to
indicates emphasis
always
constantly
"
344,と言い,"と言い
といい

in terms of both ... and ...
from the perspective of ... as well as ...
whether it be ... or ...
"
345,とされる,"とされる
とされる ...

is considered to ...
"
346,何とも,"何とも
なんとも
なにとも

quite
really
very
extremely
nothing
not a bit
not at all
"
347,だからって,"だからって
だからって

even so
all the same
nevertheless
yes, but ...
"
348,おっしゃる,"おっしゃる
おっしゃる

to say
to speak
to tell
to talk
"
349,ようやく,"ようやく
ようやく

finally
at last
barely
narrowly
hardly
only just
gradually
little by little
by degrees
"
350,ふざける,"ふざける
ふざける

to joke
to jest
to kid
to josh
to make fun of
to laugh at
to play a prank
to romp
to gambol
to frolic
to frisk
to mess around
to fool around
to screw around
to neck
to make out
"
351,ほどほど,"ほどほど
ほどほど

moderate
"
352,なるべく,"なるべく
なるべく

as much as possible
wherever practicable
"
353,ついでに,"ついでに
ついでに

incidentally
taking the opportunity
while (you) are at it
on the occasion
"
354,いってらっしゃい,"いってらっしゃい
いってらっしゃい

have a good day
take care
see you
"
355,と言うのに,"と言うのに
というのに

even though
despite
when
"
356,ばかりに,"ばかりに
ばかりに

(simply) because
on account of
as if
"
357,ところを,"ところを
ところを

although (it is a certain time or something is in a certain condition)
"
358,よって,"よって
よって

therefore
consequently
accordingly
because of
"
359,したがって,"したがって
したがって

therefore
consequently
accordingly
"
360,しょっちゅう,"しょっちゅう
しょっちゅう

always
constantly
frequently
often
"
361,距,"距


distance  キョ  
"
362,素,"素


element  ソ  ス  
"
363,修,"修


to master  シュウ  シュ  おさ.める
"
364,打,"打


strike  ダ  う.つ to strike
"
365,救,"救


rescue  キュウ  すく.う to rescue, save
"
366,我,"我


I
myself  ガ  われ  わ.が-
"
367,浮,"浮


float  フ  う.かぶ  う.く to float  う.かべる to launch, to refloat, to waft  う.かれる to frolic
"
368,替,"替


replace  タイ  か.える to replace  か.わる to be replaced
"
369,評,"評


criticism  ヒョウ  
"
370,届,"届


arrive  とど.く to arrive  とど.ける to notify, to deliver
"
371,由,"由


reason  ユ  ユウ  ユイ  よし
"
372,途,"途


road  ト  
"
373,幼,"幼


very young  ヨウ  おさな.い very young
childish, immature, infantile
"
374,積,"積


load  セキ  つ.む to load, to heap up  つ.もる to be piled up
"
375,績,"績


achievement  セキ  
"
376,絡,"絡


entangled  ラク  から.まる to be entangled, to be entwined  から.む to get in a tangle with  から.める to entwine
"
377,構,"構


build  コウ  かま.える to build, set up, get ready  かま.う to mind, to care about
"
378,購,"購


purchase  コウ  
"
379,施,"施


carry out  シ  セ  ほどこ.す to carry out, to give, to bestow
"
380,練,"練


polish up  レン  ね.る to polish up, knead, train
"
381,探,"探


grope  タン  さぐ.る to grope for  さが.す to search for
"
382,麦,"麦


wheat  バク  むぎ wheat, barley
"
383,結,"結


bind  ケツ  むす.ぶ  ゆ.わえる to bind  ゆ.う to braid
"
384,値,"値


price  チ  ね  あたい price, value
"
385,告,"告


announce  コク  つ.げる to announce
"
386,造,"造


build  ゾウ  つく.る to build, to produce
"
387,装,"装


wear  ソウ  ショウ  よそお.う to wear
to pretend
"
388,頼,"頼


rely  ライ  たよ.る to rely (on)  たの.もしい reliable  たの.む to ask(for), entrust
"
389,複,"複


double  フク  
"
390,復,"復


return  フク  
"
391,態度,"態度
たいど

attitude
manner
behaviour
"
392,程,"程


extent  テイ  ほど
"
393,役,"役


office  ヤク  エキ  
"
394,設,"設


prepare  セツ  もう.ける to prepare (for), provide
"
395,投,"投


throw  トウ  な.げる to throw (something)
"
396,製,"製


manufacture  セイ  
"
397,輸,"輸


transport  ユ  
"
398,続,"続


continue  ゾク  つづ.く to continue  つづ.ける to carry on with
"
399,論,"論


thesis  ロン  
"
400,被,"被


suffer  ヒ  こうむ.る to suffer, to incur, to receive
"
401,彼,"彼


he  ヒ  かれ
"
402,破,"破


tear  ハ  やぶ.る to tear, break  やぶ.れる to get torn, broken
"
403,波,"波


wave  ハ  なみ
"
404,僚,"僚


companion  リョウ  
"
405,忘れる,"忘れる
わすれる

to forget
to leave carelessly
to be forgetful of
to forget about
to forget (an article)
"
